in-situ Mauna Kea Temperature,1.0100628138726766,1.0,1.0,0.49159896723596236
ERA5 600,0.8560684587270334,0.9442769697887557,0.7946226754695191,0.3615762881256928
CMCC 600 ta present,0.5871326783018641,0.7984311866312519,0.7073146686381356,0.6089415900279767
ECMWF 600 ta present,0.55835570808557,0.761417090986779,0.7460098538546855,0.6484453689473592
d_Ensemble 600 ta present,0.5580992197014898,0.8430667088633083,0.5899985951765727,0.5943752977465939
HadGEM 600 ta present,0.5242294097521302,0.7214026847730354,0.7887258873320112,0.695780554489024
MPI 600 ta present,0.4938218467340553,0.7270688570519634,0.6958525690051206,0.6872738418887886
EC-Earth 600 ta hist,0.440747736699782,0.6712113965401985,0.7145483186324586,0.7425317164747827
MPI 600 ta hist,0.34567209172694296,0.5986943987914067,0.6529549317560188,0.8028133172122891
HadGEM 600 ta hist,0.34431988513377243,0.6196530198156986,0.6116908663107027,0.7849162572668007
d_Ensemble 600 ta hist,0.3232942298485251,0.740210374489508,0.448945880370321,0.7327507127479358
ECMWF 600 ta hist,0.30886046614111273,0.5630640543031711,0.6354715264523942,0.8295792383942092
CNRM 600 ta present,0.23839559763692292,0.5577950280047655,0.5008155324690664,0.831932310734873
CNRM 600 ta hist,0.2231528799372745,0.5221307592350904,0.5121857493491496,0.8529234276781354
CMCC 600 ta hist,0.09803240076894855,0.22000045918115488,0.5412613527181894,1.0270386359218893
