Site,Best Simulation,Difference to second best simulation
Mauna Kea,present,0.26695638725421156
Paranal,present,0.04429664911209241
La Silla,hist,0.03278493350566758
Cerro Tololo,hist,0.03639381128482222
La Palma,present,0.0007073934302942453
Siding Spring,present,0.006967087157516483
Sutherland,hist,0.02034659565119612
SPM,present,0.012187998632312014
