Site,RH,classification
Mauna Kea,600hPa,Good (0.8)
Paranal,750hPa,Good (0.84)
La Silla,775hPa,Good (0.71)
Cerro Tololo,800hPa,Mediocre (0.57)
La Palma,800hPa,Good (0.69)
Siding Spring,900hPa,Good (0.82)
Sutherland,850hPa,Excellent (0.96)
SPM,750hPa,Good (0.89)
