Site,ERA5,PRIMAVERA
Mauna Kea,0.19192571785132784,0.28667134614240936
Paranal,0.2581594022346688,0.10338235909747936
La Silla,0.5016192847042322,0.2721893811402377
Cerro Tololo,0.5372532306311371,0.32784738782101425
La Palma,0.017161815570839695,0.0107713943250966
Siding Spring,,
Sutherland,,
SPM,0.16319699107950333,0.1933179216028789
