Site,PRIMAVERA
Mauna Kea,0.3376751897604217
Paranal,0.5412995607692989
La Silla,0.7899834657188768
Cerro Tololo,0.7013253902972433
La Palma,0.5209680035173461
Siding Spring,0.7882221480091884
Sutherland,0.7484847240452943
SPM,0.8212789990921165
