Site,PWV,classification
Mauna Kea,600hPa SST present,Mediocre (0.34)
Paranal,700hPa SST present,Mediocre (0.48)
La Silla,700hPa SST present,Mediocre (0.42)
Cerro Tololo,850hPa SST present,Mediocre (0.6)
La Palma,700hPa SST present,Mediocre (0.59)
Siding Spring,925hPa SST present,Good (0.82)
Sutherland,850hPa SST present,Good (0.75)
SPM,700hPa SST present,Good (0.86)
