Site,RH,classification
Mauna Kea,600hPa SST present,Poor (0.23)
Paranal,700hPa SST present,Mediocre (0.47)
La Silla,850hPa SST present,Mediocre (0.37)
Cerro Tololo,850hPa SST present,Poor (0.26)
La Palma,850hPa hist,Mediocre (0.46)
Siding Spring,925hPa SST present,Mediocre (0.43)
Sutherland,850hPa hist,Poor (0.21)
SPM,700hPa SST present,Mediocre (0.51)
