ERA5 775,1.0100628138726762,0.9999999999999998,1.0,0.0806398138646374
EC-Earth 850 hur hist,0.47228366462441107,0.696766352528819,0.7240519789558623,0.7178169372431951
MPI 850 hur present,0.4263122587024162,0.6608347962702884,0.7055166054006153,0.7518602503827192
ECMWF 850 hur present,0.3757658016781781,0.629880915225259,0.6580462111093879,0.7772022365685977
d_Ensemble 850 hur present,0.367324939103705,0.695804379694827,0.5431120732268733,0.7342827831646336
HadGEM 850 hur present,0.3275109832768841,0.5320414062327615,0.7816847780618783,0.8827535075841253
HadGEM 850 hur hist,0.27197338403329496,0.4698721957947069,0.7519762831808149,0.9267161570508035
ECMWF 850 hur hist,0.21835222153587655,0.46247990777243314,0.5820620269120239,0.894657598260204
d_Ensemble 850 hur hist,0.21529139616308796,0.6604289741943528,0.38439703525114405,0.8000170006701999
CMCC 850 hur present,0.16737910833978908,0.3596728071808977,0.5977368897951136,0.962969355278537
MPI 850 hur hist,0.16598822032997373,0.37232263625344053,0.5707487659700843,0.9490778595497918
CMCC 850 hur hist,0.03364627378654392,-0.10732170636539061,0.6539940668687763,1.2522315113100926
