Site,seeing model,classification
Mauna Kea,5hPa hist,Mediocre (0.52)
Paranal,5hPa hist,Mediocre (0.52)
La Silla,5hPa hist,Mediocre (0.57)
Cerro Tololo,5hPa hist,Mediocre (0.55)
La Palma,5hPa hist,Mediocre (0.57)
Siding Spring,5hPa SST present,Mediocre (0.62)
Sutherland,5hPa SST present,Mediocre (0.56)
SPM,5hPa hist,Good (0.75)
