Site,SH,classification
Mauna Kea,600hPa,Good (0.82)
Paranal,750hPa,Good (0.87)
La Silla,775hPa,Good (0.87)
Cerro Tololo,800hPa,Good (0.89)
La Palma,800hPa,Good (0.83)
Siding Spring,900hPa,Good (0.9)
Sutherland,850hPa,Excellent (0.99)
SPM,750hPa,Excellent (0.98)
