Site,Best Simulation,Difference to second best simulation
Mauna Kea,present,0.12217565856085585
Paranal,present,0.011992705088713085
La Silla,present,0.06819871781340814
Cerro Tololo,present,0.07593133492495985
La Palma,hist,0.001454200262316574
Siding Spring,present,0.04996709730791471
Sutherland,present,0.017987758712320723
SPM,present,0.03298548155903891
