Site,ERA5,PRIMAVERA
Mauna Kea,0.1280851128432562,0.06653185461032916
Paranal,0.36170917076315096,0.09299200920173788
La Silla,0.5819461264480602,0.4382449014932642
Cerro Tololo,0.6840267814840431,0.6553890711766934
La Palma,0.5366583001512151,0.028109523187511185
Siding Spring,0.7163738805318267,0.1441044684281031
Sutherland,,
SPM,,
