Site,Best Simulation,Difference to second best simulation
Mauna Kea,present,0.02779135146043832
Paranal,present,0.07196926965376033
La Silla,present,0.09871343061583548
Cerro Tololo,present,0.08210354876637449
La Palma,present,0.024530010246343353
Siding Spring,present,0.06740610888031127
Sutherland,hist,0.03191423828512918
SPM,present,0.08850057177418458
