Site,PRIMAVERA
Mauna Kea,0.6025944120770322
Paranal,0.6083493231640097
La Silla,0.7436951836154847
Cerro Tololo,0.7797567944421349
La Palma,0.8891573558620305
Siding Spring,0.9289299183046604
Sutherland,0.8929932203316979
SPM,0.9091815260592856
