Site,Best Simulation,Difference to second best simulation
Mauna Kea,present,0.015503815521076492
Paranal,present,0.0486908171471333
La Silla,present,0.029960642002015425
Cerro Tololo,present,0.024213776597516556
La Palma,hist,0.02043082056653811
Siding Spring,present,0.006048972883178072
Sutherland,present,0.05288233780090329
SPM,present,0.06674433277790404
