Site,seeing model,classification
Mauna Kea,800hPa,Poor (0.19)
Paranal,900hPa,Poor (0.26)
La Silla,825hPa,Mediocre (0.5)
Cerro Tololo,825hPa,Mediocre (0.54)
La Palma,975hPa,Poor (0.02)
Siding Spring,nm, 
Sutherland,nm, 
SPM,850hPa,Poor (0.16)
