Site,SH,classification
Mauna Kea,600hPa SST present,Poor (0.23)
Paranal,700hPa SST present,Mediocre (0.53)
La Silla,850hPa SST present,Good (0.8)
Cerro Tololo,850hPa SST present,Good (0.79)
La Palma,850hPa SST present,Mediocre (0.55)
Siding Spring,925hPa SST present,Good (0.82)
Sutherland,850hPa SST present,Good (0.76)
SPM,700hPa SST present,Good (0.81)
