Site,Best Simulation,Difference to second best simulation
Mauna Kea,present,0.14726991071863846
Paranal,present,0.1956356492289134
La Silla,present,0.2095090314886071
Cerro Tololo,present,0.1578093133450596
La Palma,present,0.17648134621832168
Siding Spring,present,0.03120722098278461
Sutherland,present,0.013956765576732866
SPM,present,0.08310624149614476
