Site,ERA5,PRIMAVERA
Mauna Kea,0.7956811063542382,0.14789555879453553
Paranal,0.8377381840949851,0.4748507935688835
La Silla,0.709217944726398,0.3640639208716322
Cerro Tololo,0.5706058947475938,0.2832309611817301
La Palma,0.6939905447219165,0.4816423813211708
Siding Spring,0.8213858839956037,0.5278956433722163
Sutherland,0.9624489167467792,0.2912556182599186
SPM,0.8884424788403287,0.548865513252085
