Site,cloud cover,classification
Mauna Kea,tcc,Poor (0.13)
Paranal,tcc,Mediocre (0.36)
La Silla,tcc,Mediocre (0.58)
Cerro Tololo,tcc,Good (0.68)
La Palma,tcc,Mediocre (0.54)
Siding Spring,tcc,Good (0.72)
Sutherland,nm, 
SPM,nm, 
