ERA5 600,1.0100628138726766,1.0,1.0,0.6459940363162171
d_Ensemble 600 ta present,0.6025944120770322,0.8006971995919168,0.7309841952258366,0.6031118449702404
ECMWF 600 ta present,0.5496025398877833,0.7191782094158815,0.9435916243694175,0.7301671616229223
HadGEM 600 ta present,0.5329544644920459,0.7054270464355198,0.9562003789823957,0.75183771285692
CMCC 600 ta present,0.5288713077329462,0.7152052609268674,0.8344788947528572,0.7090187828743233
MPI 600 ta present,0.48577539880492243,0.6725436295877788,0.8782229134640293,0.7681074365716977
EC-Earth 600 ta hist,0.3787268299053672,0.5659374321528674,0.9531402122034973,0.9108462086253395
d_Ensemble 600 ta hist,0.3356380248228207,0.6317966408344233,0.5772404262688536,0.7770517261920619
CNRM 600 ta present,0.3242446790170921,0.55477336598761,0.6955595556882992,0.8438289302940588
MPI 600 ta hist,0.3211474569643641,0.5072619617331411,0.8865792113859726,0.9415768041231867
HadGEM 600 ta hist,0.30205819020866587,0.50585261695961,0.763429702746328,0.9002550111149018
ECMWF 600 ta hist,0.28215306109899185,0.4708772970929725,0.8059858621307568,0.943701394215405
CNRM 600 ta hist,0.27875233124795984,0.5061092026089304,0.6729237201383681,0.878453503774179
CMCC 600 ta hist,0.0918155648896398,0.1316543859928437,0.7046441141978416,1.1449822493284711
