Site,Best Simulation,Difference to second best simulation
Mauna Kea,hist,0.01273415247884202
Paranal,hist,0.04955462890462342
La Silla,hist,0.03320953988437858
Cerro Tololo,hist,0.05382780786361829
La Palma,hist,0.031190852557796522
Siding Spring,present,0.039321324526831236
Sutherland,present,0.027519089115572104
SPM,hist,0.004692071127280983
