Site,T,classification
Mauna Kea,600hPa,Good (0.86)
Paranal,750hPa,Excellent (0.97)
La Silla,775hPa,Excellent (0.94)
Cerro Tololo,800hPa,Good (0.84)
La Palma,800hPa,Excellent (0.99)
Siding Spring,900hPa,Excellent (0.99)
Sutherland,850hPa,Excellent (1.0)
SPM,750hPa,Excellent (1.0)
