Site,PRIMAVERA
Mauna Kea,0.2329069301335871
Paranal,0.4701645459473144
La Silla,0.367324939103705
Cerro Tololo,0.2613404432548016
La Palma,0.4579601968446713
Siding Spring,0.4343908851027272
Sutherland,0.21364262491547667
SPM,0.5056279050673901
