Site,Best Simulation,Difference to second best simulation
Mauna Kea,present,0.12203553678672542
Paranal,present,0.04698421271354458
La Silla,present,0.152033542940617
Cerro Tololo,present,0.1584173146986175
La Palma,hist,0.010811413391671132
Siding Spring,present,0.06966768395612483
Sutherland,hist,0.11410701083816106
SPM,present,0.0669427375191402
