Site,ERA5,PRIMAVERA
Mauna Kea,0.3895660825662586,0.3110239927734165
Paranal,0.06084412901377297,0.050661800919076884
La Silla,0.2664306224257209,0.18055001898807976
Cerro Tololo,0.2666102202125272,0.2331473739806657
La Palma,0.11414476305581035,0.2835693776901814
Siding Spring,,
Sutherland,,
SPM,0.08368548133365496,0.09886337503548033
