Site,PRIMAVERA
Mauna Kea,0.17959050675998472
Paranal,0.205913920685616
La Silla,0.5796445288720553
Cerro Tololo,0.6859340117224749
La Palma,0.058486370963075573
Siding Spring,0.1583941979899724
Sutherland,0.335967372319706
SPM,0.4402711736824343
