"","a","b","Amp","x","sigma"
"1",0.421120762433758,-2.5673472101375e-05,0.0660714076655247,0.606534432134578,0.0355128326069561
"2",0.423999443410784,-3.02282374142983e-05,0.0705525234191036,0.594748138643445,0.0361085509405482
"3",0.414938169987838,-1.0240294481072e-05,0.0643336274997937,0.669088532674363,0.0353975991066879
"4",0.419592853866376,-2.02938125806315e-05,0.0654769091161117,0.637792346813063,0.0348963753092556
"5",0.422797411526264,-2.78950964435496e-05,0.0647432381103338,0.613428239762726,0.0363475660275507
"6",0.42011717809585,-1.88125825762499e-05,0.0710702781862558,0.576749582039535,0.0355321983300017
"7",0.424535121364281,-3.92696692646294e-05,0.0688399485892136,0.684540669480846,0.0353147411959387
"8",0.420447195915024,-2.48985297886095e-05,0.0671152099637897,0.711438222928757,0.0354609151070891
"9",0.420702646065234,-2.55757571089903e-05,0.0696550857726188,0.610705879814121,0.0341550706663602
"10",0.41548546668208,-5.23355651439868e-06,0.0671253450883719,0.660747260776861,0.0356743666804063
"11",0.41416850966749,-1.8260495685698e-05,0.0649254613771077,0.631245158514022,0.0359516840142693
"12",0.419198395543331,-2.48574853563228e-05,0.0658523220493116,0.698928185771837,0.0367268942545306
"13",0.41995660524269,-1.94966247355712e-05,0.0646865260102801,0.583031658957319,0.0366510982108518
"14",0.416350031183929,-1.63664429238854e-06,0.06748386043905,0.525123633677071,0.0385861119423897
"15",0.415029482803178,-8.34293134279741e-06,0.0618475836351363,0.520029735623184,0.0370832759688727
"16",0.420514275931193,-2.82368649557208e-05,0.0672270292762759,0.676405737865831,0.036893570749123
"17",0.420983913088702,-1.30729365236456e-05,0.0659372822890081,0.64310858817257,0.0370821921689543
"18",0.417498176784898,-9.51203048488139e-06,0.0671829595575376,0.5890784192073,0.0393096427153761
"19",0.419270853901275,-2.09825874967102e-05,0.0637196395805729,0.554627179218517,0.0361022604062739
"20",0.417761633378153,-1.73304741923074e-05,0.070185020259171,0.604975210106001,0.035611159505055
"21",0.413627411181772,-4.1007531558254e-06,0.0673316636854654,0.658583943560757,0.0359987129985185
"22",0.415881414151068,-1.11561175567537e-05,0.0681095108117342,0.653533360387767,0.035176339559605
"23",0.423027901558122,-2.33053427825513e-05,0.0706294935101375,0.607884000600392,0.0376854369398738
"24",0.422645139900539,-2.1941160558903e-05,0.0697389137900242,0.710403120155916,0.0361596207909365
"25",0.423175590545744,-2.97534259409345e-05,0.06856970464031,0.622477738910192,0.0348936781544674
"26",0.421455652896049,-3.49607059965484e-05,0.0676356437523794,0.59318335828009,0.036455876752356
"27",0.424615305160649,-3.17561603431742e-05,0.0653215952435879,0.707417271459944,0.0367105144505791
"28",0.417860753542243,-1.43436439970807e-05,0.0711387955497254,0.772726329095603,0.0351532792000535
"29",0.41813422533221,-1.90347108591548e-05,0.0646653441289196,0.616770623935704,0.035829110006906
"30",0.416821336158938,-1.01082950745069e-05,0.0640004519099019,0.784538033540339,0.0382318183569625
"31",0.415713093209332,-1.37345018158416e-05,0.0670192924031241,0.756395644512826,0.0351105127570584
"32",0.415628357427016,-1.5823718193682e-05,0.0616547551482759,0.675656268659482,0.0355632439000331
"33",0.417948859633907,-1.56884020396811e-05,0.0686581042494086,0.572722664044179,0.0360125443643798
"34",0.41797923360138,-1.72107415224961e-05,0.0655105963517512,0.653972536968459,0.0365717865623872
"35",0.41682925761709,-1.66852908373976e-05,0.0641754212887687,0.66667428749652,0.0376133497931052
"36",0.416904434332161,-1.10640405349903e-05,0.0680080809376972,0.693145104862647,0.0351884248344298
"37",0.422270419720224,-2.33704748519708e-05,0.0660842076812704,0.742643128291756,0.0367273501825637
"38",0.418503339812593,-5.71590707188547e-06,0.0672362469603995,0.478556074344786,0.0366987820813085
