Site,seeing model,classification
Mauna Kea,200hPa hist,Mediocre (0.58)
Paranal,200hPa SST present,Poor (0.13)
La Silla,200hPa hist,Poor (0.03)
Cerro Tololo,200hPa hist,Poor (0.03)
La Palma,200hPa hist,Poor (0.14)
Siding Spring,200hPa hist,Good (0.73)
Sutherland,200hPa hist,Poor (0.05)
SPM,200hPa hist,Good (0.72)
