Site,200hPa-seeing,classification
Mauna Kea,SST present,Mediocre (0.61)
Paranal,SST present,Good (0.66)
La Silla,SST present,Mediocre (0.49)
Cerro Tololo,SST present,Mediocre (0.46)
La Palma,hist,Mediocre (0.49)
Siding Spring,SST present,Good (0.68)
Sutherland,SST present,Mediocre (0.43)
SPM,SST present,Good (0.67)
