"","a","b","Amp","x","sigma"
"1",6.52612821885799,0.000297952718486693,-4.63466971017751,1.14151657548121,2.38886308934581
"2",6.37066397010779,0.000904008156159887,-4.70145585617422,1.04857480202274,2.36673294721557
"3",6.4017910726597,0.000321433157241001,-4.62391067912653,1.21025794117495,2.39656853671106
"4",6.45018943357657,0.000319295468405514,-4.74691090640176,1.08498217006888,2.40622483275164
"5",6.31038661445283,9.86636057211189e-05,-4.74312716800238,1.20977627133044,2.35887834033282
"6",6.36220077299405,0.000211501252169627,-4.7966277528591,1.0987779115032,2.33454501842434
"7",6.45112664612868,0.000165368684158015,-4.68465974034929,1.07372944257121,2.43892741771731
"8",6.62187965172846,-0.000291250890998763,-4.57168429510508,1.21828529528479,2.4619282481816
"9",6.30664660499671,0.000697735325141335,-4.55536633356419,1.12922056066688,2.35639628487022
"10",6.25653869139725,0.000763415685501454,-4.58839076998176,1.15269047360875,2.32887097399021
"11",6.36720602778212,0.000112037082750897,-4.59184193497197,1.15672140529853,2.3767855027559
"12",6.32145183787474,0.000483851470099951,-4.98109854578656,1.15455280936664,2.36129336619886
"13",6.4727855932618,0.000550561280760329,-4.59976042440771,1.14723739499318,2.40465124477809
"14",6.50355032196227,-0.000179238484445446,-4.71660223521459,1.15362004352958,2.41023808950367
"15",6.50230571477217,-3.55672432061757e-05,-4.60501365710702,1.15098004951897,2.34144640233463
"16",6.39595281576999,0.000496802793650108,-4.56274907247673,1.16616149343021,2.50785227828387
"17",6.45302528891194,0.000280528354730881,-4.71090586704854,1.17698818592977,2.44024188064869
"18",6.67110318916879,-0.000167354733496867,-4.69603636933135,1.11649383751205,2.31239458590775
"19",6.36730619214113,0.000303190058592995,-4.78788867978731,1.18891593177423,2.41834494222827
"20",6.50965709263071,0.000142605645406116,-4.33589929790092,1.13601123382026,2.42536538835557
"21",6.53918349294177,0.000107006243559743,-4.58058269671237,1.21478465399886,2.43029462413107
"22",6.36690717960538,0.00060249575879367,-4.4862074325019,1.11397035340318,2.36782013732572
"23",6.4353813120899,0.000293749325313207,-4.72069386082939,1.13560935746941,2.49810838618626
"24",6.71416041675482,-0.000458837480091735,-4.66031165212809,1.18081019751438,2.30944281980325
"25",6.54748691185581,-0.000271302280545986,-4.46620974905394,1.25875544036239,2.50318926495144
"26",6.35308352966257,0.000330967219184185,-4.85839479751904,1.1738415955719,2.41045246545724
"27",6.15027488723669,0.000818206169059902,-4.71950798711333,1.1575747685366,2.45267454009956
"28",6.39962285064086,0.000173183013169892,-4.74060844906293,1.1934728034625,2.34031980040864
"29",6.44546434449328,-0.000112741366225602,-4.55476969447707,1.1550004630327,2.39278739739281
"30",6.38418615937113,0.00030224031009348,-4.586646400517,1.16854938781379,2.49457245623449
"31",6.61318062635666,1.6092517238538e-05,-4.49160589545782,1.2409778124072,2.48585103538678
