"","a","b","Amp","x","sigma"
"1",46.4640565084751,-0.00535764235553057,11.5562654365548,2.08908948045983,5.11875603111317
"2",46.76648534277,-0.00665052900650621,11.523556752792,2.10332584734628,4.76055061021881
"3",46.6221248317057,-0.00693320229437317,11.9962084234209,2.18319618886126,5.43688865162601
"4",46.3931685105313,-0.00432170196332079,11.2198707033522,2.09764117916394,5.34428303228799
"5",46.3753880223383,-0.00515209960887838,11.5677869716014,2.1509606659166,5.2892878869268
"6",46.4778014261305,-0.0040204227175187,11.818981156696,2.13358392718981,5.2146065347751
"7",46.48573966989,-0.00661750735167547,11.3146594571271,2.10838173399416,5.17240223759798
"8",46.3203402326604,-0.0052904679900114,11.500869808677,2.13312458570386,5.10855825344323
"9",46.5044136870168,-0.00516358181827611,11.0663960507762,2.16382580357202,5.2036481011566
"10",46.792616206996,-0.00722251457659549,11.7459675385408,2.10527225396864,5.34028877902406
"11",46.0488802397611,-0.00367418110046746,11.3510870049727,2.03888421610417,5.36927391348419
"12",46.8219120403228,-0.00667619355437784,11.6175655331237,2.22406074388524,5.37317423525039
"13",46.4347620178362,-0.00485209749977869,11.8149030255479,2.11047399278274,5.09758271878891
"14",46.3890018729261,-0.0047021492975878,11.8614354166826,2.2245448643824,5.4002393700129
"15",46.5827682891234,-0.00649824334626947,11.2266531924558,2.12627735690049,5.26676399925693
"16",46.8004682106412,-0.00731134878630181,11.63013916355,2.16878594843238,5.35225623260342
"17",46.4820723233093,-0.0051475645372099,11.5678238321178,2.11964034453198,5.26553411753343
"18",46.7942497014112,-0.00675789847209709,10.9364940027623,2.19071259994069,5.19198659522759
"19",46.5491910696587,-0.00515224690954997,11.5805802761426,2.14076657440336,5.46892630766397
"20",46.4499908697504,-0.0048469500615185,11.7301481576488,2.0516598430066,5.19372407667837
"21",46.4818031107352,-0.0059939716959949,10.9273223720783,2.13497557969055,5.64675865362269
"22",46.4164622516477,-0.00454922080510614,11.5869315994278,2.16080487998224,5.13572182411914
"23",46.3776872943082,-0.00512098240918165,11.4901916052902,2.13599467083254,5.52564281862826
"24",46.3365957937253,-0.00528571664437474,11.6691632800812,2.05421583292201,5.23432455217764
"25",46.2321714001446,-0.00551969888624467,11.8717436046108,2.03294615454458,5.69262504069688
"26",46.1257482147442,-0.00537237964835207,11.2373292593882,2.17358144930874,5.44635754440372
"27",46.3036068455178,-0.00725243048971152,11.7600990047459,2.13360662952827,5.35572432217419
"28",46.8897781923811,-0.0069502062716091,12.0921779524384,2.19851052672859,5.41696727602434
"29",46.2373708675203,-0.00413293436176528,11.3977409144081,2.20471444869058,5.26650234546283
"30",46.466967531667,-0.0061339709743893,11.7849372226863,2.15208764113833,5.52338231454078
"31",46.4563427371331,-0.006528508315698,12.2186129811641,2.1327681188094,5.58772050784776
"32",46.3015910545431,-0.00382143222215891,11.7157851469567,2.06547689831365,5.52612358131803
"33",46.0122887230099,-0.00384353620478141,11.5791531019472,2.18556852360608,5.41841272428875
"34",46.5314922011104,-0.00716939833599782,11.5903323426772,2.08027296872924,5.46016213485752
"35",46.4003385001757,-0.00461478020754952,11.032115141358,2.15832762071268,5.38485235854448
"36",46.4524128460832,-0.00511784956075574,10.9162400224155,2.11954634084106,5.27025655287674
"37",46.4371882210259,-0.0058772588345949,11.5016334163925,2.15648001406775,5.27814325957062
"38",46.2591031706974,-0.00462853766215869,12.0194625325989,2.17188164172479,5.55241382815803
"39",46.5521612831673,-0.0051090643133214,11.1918071644702,2.1885132756674,5.27904627839262
"40",46.6786705781608,-0.00599671789975708,11.348113783389,2.09495265094571,5.12006819240436
"41",46.4309465000704,-0.0045823858265982,11.4300850947595,2.14869587415648,5.23379664844503
"42",46.5461925254625,-0.00535599103351495,11.5312366862168,1.9910230008315,5.26966561726435
"43",46.7670550942434,-0.00616947412826769,11.291918738264,2.11699557266783,5.14119345822117
"44",46.3494455492162,-0.00565393966862982,11.2551535177753,2.03149781280336,5.47181290497804
"45",46.2705638025738,-0.00495000403390379,12.089849878497,2.15327745359207,5.27475669721583
"46",46.4969059756356,-0.00596157377035306,11.5668163643982,2.23462135525975,5.56956417966354
"47",46.2762189169241,-0.00564420283623544,11.1065226645147,2.18131087118934,5.47704946251046
