"","a","b","Amp","x","sigma"
"1",0.413816770995751,0.00335196960268784,-1.30148615711743,0.659722654707278,0.738455873229633
"2",0.461109899665274,0.00301404031068897,-1.38365798218483,0.58096911363848,0.70682844102196
"3",0.537949005501733,0.00262326725125891,-1.29725410625485,0.686857343901632,0.692108286541099
"4",0.508457104577503,0.00258284358516334,-1.37033149257461,0.769091179019384,0.708127043057807
"5",0.532097844364264,0.00318937898023378,-1.26370183396591,0.669026063669737,0.683461680324742
"6",0.522747143132957,0.00264564864102052,-1.30205078562982,0.727016726128347,0.723437491360995
"7",0.434607140802677,0.00323019559868456,-1.33673596563354,0.822646765064069,0.73235255779933
"8",0.577604389186416,0.002662192372114,-1.29132115918462,0.609985051927602,0.714728138093712
"9",0.439821430969405,0.00305460313047747,-1.29691377619791,0.598819754285179,0.713276568177668
"10",0.578305217052238,0.00255331860146001,-1.33820332185969,0.688761569927099,0.7054608197697
"11",0.627304883669729,0.00249110827391677,-1.32026257708577,0.614287168752667,0.671310116282118
"12",0.600493010507437,0.00261020061996658,-1.26787749904658,0.658117887337677,0.699518088331278
"13",0.50316432623729,0.00283035236126649,-1.33285507395089,0.643431711579807,0.700614625859633
"14",0.498115454521737,0.00277400942489604,-1.40364003994048,0.631523584640771,0.751406115476367
"15",0.523503692434499,0.00303123517338261,-1.26416437976775,0.629585478976637,0.670630248952546
"16",0.586174169644983,0.00255912957833345,-1.23471311135137,0.662815345925975,0.683799701521277
"17",0.498681339102321,0.00313426141950618,-1.35860725852668,0.744396659448673,0.72241142958799
"18",0.501507819563642,0.00291903097352575,-1.31191396131919,0.734423809781386,0.710175088977752
"19",0.525395352603695,0.00276716256743729,-1.26899139900669,0.697404882890807,0.719012070241729
"20",0.481287166521375,0.00297914968813247,-1.23897363880762,0.688401873786664,0.700597344959704
"21",0.548449415904759,0.00293058231555835,-1.25910760073114,0.632334072325165,0.702274119256694
"22",0.543880721904563,0.00275583864386649,-1.32414408432884,0.576786577608134,0.707735425313478
"23",0.622162754681798,0.00261993266524893,-1.31863180975516,0.701797616666257,0.725438382590021
"24",0.564338626612315,0.00273278183206143,-1.31069973329422,0.702133486266159,0.660738524345146
"25",0.596839051388312,0.00246535781559556,-1.36830403421435,0.706454722012792,0.699249987448522
"26",0.556819500678428,0.0024908160581641,-1.30787779151607,0.824331503550176,0.686868734390016
"27",0.45710660746683,0.00327840637938723,-1.24668342845733,0.759462153972977,0.694015739553908
"28",0.446886088496496,0.00310055244552399,-1.32958704805524,0.77890083276664,0.745739875305263
"29",0.515871562623092,0.00289728222930923,-1.27408377064837,0.627033255915691,0.674897951296205
"30",0.539080394176786,0.00290313931585249,-1.34552922263311,0.695857457415432,0.694498533324726
"31",0.552796469194328,0.0025702262984904,-1.30445715458928,0.792162361509871,0.679504448044548
"32",0.487231512374312,0.00300078262742638,-1.33278349275784,0.733017255465346,0.721932233040764
"33",0.539069222117887,0.002645326654005,-1.34197009782613,0.701020244682096,0.68896456292487
"34",0.492528549669327,0.00295831275849679,-1.28535251705598,0.550726722454007,0.72513770565228
"35",0.493789991667345,0.00301974442601089,-1.28452466742661,0.624435593282762,0.712460619530301
"36",0.467384899825859,0.00298903878249562,-1.45865827849225,0.731951694591506,0.722095232887385
"37",0.527295187970689,0.00291339150643347,-1.38049107956003,0.730303659588761,0.69255755774175
"38",0.51128966983541,0.00268138618729705,-1.35288031338773,0.705255828765992,0.676766562055039
"39",0.482672838688205,0.00280378944994084,-1.37133374223357,0.603997507212993,0.691288493110786
"40",0.531002935791398,0.00252165655350289,-1.18943893622626,0.605063418253939,0.679217771395555
"41",0.530108188847174,0.0029539221499698,-1.30215634136901,0.604957712991627,0.695353839206484
"42",0.51722726818562,0.00280075660253114,-1.2829299365929,0.667564331220917,0.700313834253065
"43",0.605526736887504,0.00269102186868369,-1.35018228957907,0.700481720660509,0.682613170167999
"44",0.589871462677591,0.00264121768562106,-1.34345671430426,0.711861415961889,0.688658505244415
"45",0.525394014229597,0.00287489944689824,-1.33223777014089,0.623686629043361,0.704487655574905
"46",0.485341791101877,0.00305447739424542,-1.31320754645327,0.810025375983448,0.69610518138532
"47",0.604914721664836,0.00252620800897113,-1.28955166479117,0.787955298766622,0.697748221821583
"48",0.55519325177327,0.00240634713569889,-1.21735852345026,0.787314089146514,0.689505664248201
"49",0.532167971288302,0.00304367465933961,-1.36837499923673,0.526933920785249,0.710907806909296
"50",0.59729685893393,0.0024435070339175,-1.29376394506494,0.755623245440147,0.720471601043099
"51",0.48601469180611,0.00312770177885346,-1.32002656907169,0.776610441650441,0.72525988490353
"52",0.555233052697605,0.0027018260619508,-1.3858095151209,0.709913439032816,0.73719999695432
"53",0.464584248213619,0.00277811406752657,-1.1685835366136,0.667802463793611,0.653620210339678
"54",0.537579762240105,0.00246258647288552,-1.26482089307207,0.691440414018056,0.733461037899997
"55",0.423229659219183,0.00330272164397923,-1.32024202262977,0.621376427374646,0.692097483164499
"56",0.465316503076208,0.00288851743532508,-1.30228245861578,0.747298646923424,0.74856657132146
"57",0.554726858637761,0.00263319738334725,-1.2382656149417,0.766227897695335,0.71609016845013
"58",0.610051023717582,0.00259286538911294,-1.23958221098485,0.688703203466914,0.747500689737534
"59",0.512321413408187,0.00269241097202278,-1.34840885471329,0.616431008769735,0.711021452578463
"60",0.523886091994561,0.00253103928381366,-1.28578702476522,0.63074491829354,0.702366215064375
"61",0.494553776010902,0.00317632593134049,-1.28963745767059,0.655347052977459,0.755445859137503
"62",0.493957960661928,0.00292560559970943,-1.24448286992709,0.734361577094437,0.691990466049451
"63",0.423770035718502,0.00292444609198229,-1.29634302306055,0.677676312646985,0.676140417610449
"64",0.515488788289798,0.00300301627863716,-1.23615597027996,0.649939363204422,0.717217638848707
"65",0.552512448893941,0.0026873927189269,-1.17718679672417,0.694368359571636,0.702290151009599
"66",0.415672619902593,0.00318996546118333,-1.36433231368237,0.748827305881737,0.727581446560954
"67",0.613585222404911,0.00253628746740886,-1.3393561757065,0.703360539110219,0.692883645761444
"68",0.619876171097657,0.00243744430570592,-1.3070250716296,0.658894886548002,0.677130180410744
"69",0.435471601201116,0.00310937230526404,-1.26862663237197,0.675775275077214,0.737327647156234
"70",0.53296709745277,0.00288789069004488,-1.29707284042921,0.630144424257493,0.696317452465462
"71",0.612728987622133,0.00254280364575716,-1.33348571235054,0.692438679917234,0.699143308169105
"72",0.546453156292804,0.00278124477551468,-1.31439830801655,0.665191437585141,0.74100803424754
"73",0.499575351678953,0.00289975206231891,-1.33511664772104,0.756771993203919,0.718950394098468
"74",0.402571421835976,0.00321752024853944,-1.28296654097684,0.762760139736282,0.701558870615183
"75",0.5765846182447,0.0026744705056155,-1.35047188250312,0.702699386753383,0.727815606810016
"76",0.463599156171629,0.00290911749224165,-1.28570561681234,0.676383060105675,0.700627733800673
"77",0.528146754540747,0.00291628349048936,-1.3558765041568,0.607373264868582,0.692573404434109
"78",0.4871672108889,0.00270009630644993,-1.30219349546795,0.750548342733753,0.711341968501834
"79",0.52527598485175,0.00277027600205367,-1.2833847046952,0.674451378985966,0.673687380732594
"80",0.570924370038842,0.00268295726232481,-1.29576465698497,0.711959949233084,0.66419206298145
"81",0.588328836947492,0.00257811899277324,-1.3718935828524,0.515222381785122,0.708664271288934
"82",0.547274684673636,0.00283643333573213,-1.26562851391491,0.636017879553872,0.70912645942449
"83",0.449513168038011,0.00306299993937471,-1.35338993215043,0.718642446109834,0.739716216715021
"84",0.643235272012292,0.00231868328387986,-1.40232545518498,0.634403299102205,0.748792762494601
"85",0.514689387699361,0.00287920154256336,-1.26755101685739,0.799499105045458,0.777589199033733
"86",0.490556071911312,0.00289376667507218,-1.31015234258439,0.560785328334502,0.730826326677407
"87",0.494862897177845,0.00281742406392807,-1.32841027706311,0.765362667353527,0.713786836759769
"88",0.486089297931761,0.00300018642474516,-1.38165362914507,0.615254753982446,0.696261847596773
"89",0.534230266378005,0.0028541894660494,-1.33210852123934,0.723883094420256,0.731608040856938
"90",0.452217223168461,0.00316379367235135,-1.30957273228941,0.713371523313943,0.737277711546521
"91",0.576831990873008,0.00273518636397644,-1.3196949281418,0.553235183292677,0.720392606329839
"92",0.422257250636617,0.00296876999762325,-1.35166307503798,0.687586238651703,0.719065456607807
"93",0.475229491214298,0.00326381392865035,-1.25738820663807,0.622695390597268,0.678876202690763
"94",0.561274836311027,0.00275303482109396,-1.36739818996307,0.644907575174159,0.686615960115721
"95",0.579477376930861,0.00270291386641564,-1.25553452831166,0.645171779643913,0.686098684588182
"96",0.581947930038298,0.00238272463547341,-1.32203512052967,0.632662554310868,0.721691090102666
"97",0.537090840018083,0.00284452883651657,-1.31382398362664,0.691333127501727,0.744826510715332
"98",0.551294108727723,0.00285225348584192,-1.27592017812205,0.699831006040625,0.697899682744283
"99",0.625425831660326,0.00242159530008328,-1.34357258522821,0.705644147713213,0.700010263736664
"100",0.408343989234143,0.0033466429094702,-1.34352340289892,0.806711995198406,0.717433357695983
"101",0.523781939273524,0.003017752669979,-1.27949865784395,0.667644374237821,0.713527841482975
"102",0.479523193608977,0.00313431380436519,-1.37099841687359,0.656122422195745,0.739652916895025
"103",0.467092050742089,0.00307151760396799,-1.30338444378872,0.822121404148607,0.704071829294876
"104",0.583015147976914,0.00253950715245653,-1.29928144195674,0.618262287427902,0.729869902893504
"105",0.487002032938266,0.00274244541594494,-1.29130374552221,0.810888454673074,0.708580857359671
"106",0.470989571579019,0.00296366077374937,-1.36097015021709,0.573800299789032,0.669853279368117
"107",0.486536886752061,0.00299387276101586,-1.28664980678948,0.762908858765313,0.720864811628156
"108",0.54859246197297,0.00278055156823179,-1.26530229278975,0.726576007133136,0.710660445186262
"109",0.440038290265819,0.00305065621877365,-1.29343533461625,0.651946665091274,0.687185406585495
"110",0.576886153186621,0.00252123685211282,-1.30922601061927,0.755773725196601,0.693314392521573
"111",0.489788274867338,0.00277923461501736,-1.37917810941631,0.544976043134188,0.722982910762103
"112",0.510303820736469,0.00297769278074227,-1.30860433801395,0.622525810534121,0.70182204086888
"113",0.526047890661657,0.00285573999459387,-1.28731061086154,0.513464463392555,0.712394735552751
"114",0.504103523624194,0.00289254801525065,-1.3305762271575,0.619725912215006,0.758610476887614
"115",0.568002471332816,0.00281717650041907,-1.20348764959312,0.769265831487869,0.727196628024812
"116",0.639624142940147,0.00259651209142557,-1.27138995204467,0.647940853362415,0.695158983858343
"117",0.464142040587549,0.00296536301442769,-1.29762663509385,0.713488403888199,0.724799019208945
"118",0.584495066890249,0.00256850080612178,-1.36130765431929,0.672173899829858,0.723769367317798
"119",0.415536885952721,0.00315411879641936,-1.30627254496815,0.76913449101508,0.735751958706805
"120",0.567028735282665,0.00256836045677852,-1.32462627311615,0.659480520894863,0.680309209895144
"121",0.466237035445429,0.00295703268097063,-1.30430401212583,0.720333689536203,0.715952239690749
"122",0.562976073806014,0.00258748985143859,-1.33407572887727,0.69705586742733,0.691300367739472
"123",0.500232211303559,0.00282860191952878,-1.31307968673164,0.657950897311679,0.692294871971457
"124",0.549969728588636,0.00257222320162239,-1.33878501039456,0.578530106793667,0.72111805973635
"125",0.565679399119383,0.00295940457326247,-1.28301859679797,0.720214964163504,0.707680982363734
"126",0.474024328529168,0.00316221629048226,-1.31444045530119,0.604145885035424,0.710075947975745
"127",0.525311185917593,0.00274992117886686,-1.26390178485747,0.555848813358843,0.718801212686774
"128",0.489353077915941,0.00283656713463017,-1.26358749111372,0.576613001175349,0.728174410769312
"129",0.533471658156636,0.00307771742259744,-1.32766219065301,0.607981682742826,0.690740893072639
"130",0.54307668161142,0.00286429392280179,-1.30126592723321,0.706748961965973,0.733097464784363
"131",0.49185318115671,0.00306527900698041,-1.27726061504435,0.656256375766718,0.724132653879748
"132",0.512795621123622,0.00299886213741515,-1.25181468509152,0.782665943329676,0.712231501728338
"133",0.457975018546492,0.00295614821024864,-1.36637181954972,0.700062428114294,0.726070040702918
"134",0.614347217434302,0.00236207113206647,-1.3260300384164,0.660853173557746,0.705339305993338
"135",0.550219547661985,0.0027910022165291,-1.30495914976564,0.652210252577784,0.688838585931504
"136",0.491916163896668,0.0029830380015681,-1.32508043272912,0.642339554224184,0.721572187761432
"137",0.434427197815069,0.00318265153429876,-1.29377041062811,0.701002845295111,0.72329789237976
"138",0.613199176971945,0.0024984935472727,-1.28259356287879,0.718094653042597,0.69931014999772
"139",0.640701102105351,0.0023919693650056,-1.30228365548133,0.627759956450178,0.666336197083316
"140",0.523264912489092,0.00283178919939273,-1.33058324091852,0.719258044103719,0.780186367197009
