"","a","b","Amp","x","sigma"
"1",6.81817237190694,0.00150617312816757,-5.00410249765217,1.02616491860028,2.35453751794899
"2",6.5194199868714,0.00255480082718039,-4.61089895962516,1.14558959975359,2.31874005497916
"3",6.72856653657477,0.000943099460131483,-4.5309506723047,0.949546516614243,2.3778352941699
"4",6.49311925192066,0.00202611682848613,-4.81735853003055,1.1180234168421,2.21137738775738
"5",6.63281095007787,0.00137239879618334,-4.6652254431025,1.12985312256313,2.3676521591247
"6",6.97259188296999,0.000425629187579852,-4.70499912507556,1.10025329588459,2.48029059446275
"7",6.52908564409067,0.00176589957529487,-4.92798902439078,1.02370834030971,2.32372468444423
"8",6.7113995451744,0.0012806587226913,-4.34993142007922,1.0812029966014,2.18887206914037
"9",6.75301964981694,0.00198266023236022,-4.96670944777318,1.09711853864886,2.21611128526974
"10",6.71645629739653,0.000869702499577271,-5.07366252032328,1.01868855214737,2.31256378338217
"11",6.69262541513015,0.000916925434884831,-4.88156343821544,1.03961164654767,2.32573311036406
"12",6.59760879994227,0.00207909801452855,-4.43104943833996,1.1024012729563,2.42285701950545
"13",6.85074784156251,0.000850775448404528,-4.73675766430058,1.11388223650143,2.36258201976888
"14",6.72599217513422,0.00129173438170837,-4.80292288984874,1.1295401077987,2.38484703429584
"15",6.5322965857673,0.00209247477699026,-4.75581428673422,1.05460752938925,2.29962501124978
"16",6.98067728935546,0.000390998609964395,-4.63477047476181,1.05233047146348,2.22372208024041
"17",6.82284917059406,0.0014912423175651,-4.88937281133878,1.04716995260233,2.41222985887665
"18",6.78105419150134,0.00104403067368857,-4.72920154858626,1.17243055101909,2.25248851476312
"19",6.89205335435195,6.37872149099176e-06,-4.86503154796532,1.13853278996337,2.40794096226656
"20",6.73279538973668,0.000884200563146513,-4.96109153213774,1.14071884770346,2.26426048758387
"21",6.51417935469417,0.00155451342460415,-4.87104898772227,1.09568223881121,2.32870848239114
"22",6.71684359618293,0.00152704933723369,-4.91596752356336,1.09647507002761,2.23943267221101
"23",6.87684516144865,0.000212004352832475,-4.74398394591463,1.07056391899971,2.24046731205692
"24",6.62574003158654,0.00169990351243248,-4.92284796252521,1.19889541350905,2.25152026980138
"25",6.60304397916387,0.0021840574286469,-4.77129187789353,1.14125506178711,2.42867139201135
"26",6.59306918586425,0.00131627885149106,-4.78373246556559,1.18075118032318,2.35650024106218
"27",6.70487445999284,0.00113546534333685,-4.54381545100901,1.09516369443902,2.21726886274719
"28",6.72567928748466,0.000277543789788422,-4.51326973496435,0.99498761730689,2.42181053590688
"29",6.67604735979083,0.00104659505302712,-4.70865495396003,1.06524748592394,2.21738107585928
"30",6.7211272023795,0.000720090279827614,-4.81583603591264,1.0916442660206,2.2763732624546
"31",6.51194247858427,0.0026956283060566,-4.83571583275458,1.09885867048787,2.43412600924434
"32",6.53160345960982,0.00253949912814215,-4.98304051612718,1.01376512222645,2.30727084031012
"33",6.85073383765507,0.000699561130825528,-4.82492803303062,1.20470815453029,2.36933238897441
"34",6.61894393458211,0.00175077335300882,-4.86620488113733,1.01625479961074,2.32451429052042
"35",6.87863851705785,0.00132928623496361,-4.49799832083786,0.98137612355115,2.3997924065517
"36",6.91070699763182,0.000278525905952237,-4.89767993059772,1.07008324872415,2.13445299328506
"37",6.7872325462859,0.000515876574846146,-4.54415451482193,1.00544831638748,2.24595249186202
"38",6.67376138991605,0.00128763463515279,-4.71547658661362,1.08147706480534,2.31524844869992
"39",6.28097772267999,0.0021219425772079,-4.67319306210698,1.08170349745046,2.33756150386559
"40",6.26545559544238,0.00284965014839094,-4.71843051901136,1.08361904607619,2.28455913306739
"41",6.63666411663302,0.00182162383489018,-4.67022242505924,1.07706129009722,2.27827999319964
"42",6.55638660550478,0.00164661088200274,-4.89646612202124,1.21649987088807,2.37046113935781
"43",6.70905009786876,0.00160770344839413,-4.82724578767845,1.06063398649255,2.42876310514227
"44",6.96979563415836,0.000415936887687332,-4.94999400667245,1.19747477703101,2.20056037172075
"45",6.32402320799315,0.00259452555255909,-4.76731420268131,1.12718961196142,2.21167406859385
"46",6.80137559106662,0.00108898112190984,-4.70882207388983,1.0232490225216,2.38448477173426
"47",6.71593390975025,0.00155494147397104,-4.82665734231725,1.09021997122518,2.41892861043718
